"","title","YearPub","pmid","abstract"
"11","The Microbiome of the Maculinea-Myrmica Host-Parasite Interaction.",2019,"31142780","Maculinea (=Phengaris) are endangered butterflies that are characterized by a very complex biological cycle. Maculinea larvae behave as obligate parasites whose survival is strictly dependent on both particular food plants and species-specific Myrmica ants. In this interaction, Maculinea caterpillars induce Myrmica workers to retrieve and rear them in the nest by chemical and acoustic deception. Social insect symbiotic microorganisms play a key role in intraspecific and interspecific communication; therefore, it is possible that the Maculinea caterpillar microbiome might be involved in the chemical cross-talk by producing deceptive semiochemicals for host ants. To address this point, the microbiota of Maculinea alcon at different larval stages (phytophagous early larvae, intermediate larvae, carnivorous late larvae) was analyzed by using 16S rRNA-guided metabarcoding approach and compared to that of the host ant Myrmica scabrinodis. Structural and deduced functional profiles of the microbial communities were recorded, which were used to identify specific groups of microorganisms that may be involved in the chemical cross-talk. One of the most notable features was the presence in all larval stages and in the ants of two bacteria, Serratia marcescens and S. entomophila, which are involved in the chemical cross-talk between the microbes and their hosts."
"12","Towards an in-depth characterization of Symbiodiniaceae in tropical giant clams via metabarcoding of pooled multi-gene amplicons.",2019,"31139503","High-throughput sequencing is revolutionizing our ability to comprehensively characterize free-living and symbiotic Symbiodiniaceae, a diverse dinoflagellate group that plays a critical role in coral reef ecosystems. Most studies however, focus on a single marker for metabarcoding Symbiodiniaceae, potentially missing important ecological traits that a combination of markers may capture. In this proof-of-concept study, we used a small set of symbiotic giant clam (Tridacna maxima) samples obtained from nine French Polynesian locations and tested a dual-index sequence library preparation method that pools and simultaneously sequences multiple Symbiodiniaceae gene amplicons per sample for in-depth biodiversity assessments. The rationale for this approach was to allow the metabarcoding of multiple genes without extra costs associated with additional single amplicon dual indexing and library preparations. Our results showed that the technique effectively recovered very similar proportions of sequence reads and dominant Symbiodiniaceae clades among the three pooled gene amplicons investigated per sample, and captured varying levels of phylogenetic resolution enabling a more comprehensive assessment of the diversity present. The pooled Symbiodiniaceae multi-gene metabarcoding approach described here is readily scalable, offering considerable analytical cost savings while providing sufficient phylogenetic information and sequence coverage."
"13","New PCR primers for metabarcoding environmental DNA from freshwater eels, genus Anguilla.",2019,"31138865","Freshwater eels of the genus Anguilla comprise 16 species that include three subspecies and are characterized by their unique catadromous life cycles. Their life histories and nocturnal life styles make it difficult to observe them in freshwater and marine habitats. To investigate their distribution and ecology in aquatic environments, we developed new PCR primers for metabarcoding environmental DNA (eDNA) from Anguilla. The new primers (MiEel) were designed for two conserved regions of the mitochondrial ATP6 gene, which amplify a variable region with sufficient interspecific variations ranging from five to 22 nucleotide differences (one to three nucleotide differences between three subspecies pairs). We confirmed the versatility of the MiEel primers for all freshwater eels using tissue DNA extracts when analyzed separately. The metabarcoding combined with the MiEel primers using mock communities enabled simultaneous detection of Anguilla at the species level. Analysis of eDNA samples from aquarium tanks, a controlled pond and natural rivers demonstrated that the MiEel metabarcoding could successfully detect the correct Anguilla species from water samples. These results suggested that eDNA metabarcoding with MiEel primers would be useful for non-invasively monitoring the presence of the endangered anguillid eels in aquatic environments where sampling surveys are difficult."
"14","Surface sterilization methods impact measures of internal microbial diversity in ticks.",2019,"31138324","Ticks are obligate blood feeders transmitting major pathogens worldwide. Over the past few years, considerable research efforts have focused on the diversity, distribution and impact of gut and intracellular bacterial symbionts on tick development and tick-borne pathogen transmission. The study of this internal microbiome requires the use of a sterilization method to remove external (i.e. cuticular) microbes present on the tick's surface and to avoid any further contamination. Several sterilization methods exist, including ethanol- or bleach-based treatments that are both effective in killing microbes but with different potential effects on DNA denaturation."
"15","Surface sterilization methods impact measures of internal microbial diversity in ticks.",2019,"31138324","We examined how these different sterilization methods impact the measure of internal microbial diversity hosted by the Cayenne tick Amblyomma cajennense (sensu stricto). Bacterial barcoding investigations based on 16S rRNA gene sequences were conducted on two batches of 50 individuals each: Ticks of the first batch were sterilized with bleach diluted at 1% and the second batch with 70% ethanol. Tick external microbiome was also determined from cuticle smearing and water samples used for tick washing."
"16","Surface sterilization methods impact measures of internal microbial diversity in ticks.",2019,"31138324","Bacterial barcoding investigations showed major differences between ethanol- and bleach-treated specimens. Both methods led to the detection of major intracellular bacteria associated with A. cajennense (s.s.) but ethanol-treated ticks always harbored a higher bacterial diversity than bleach-treated ticks. Further examinations of tick gut and tick external microbiome revealed that ethanol-based surface sterilization method is inefficient to eliminate the DNA of external bacteria."
"17","Surface sterilization methods impact measures of internal microbial diversity in ticks.",2019,"31138324","We herein provide evidence that studies investigating the internal microbiome of ticks should consider bleach as the gold standard to efficiently remove cuticular bacterial DNA. Indeed, this method does not impact the internal bacterial diversity hosted by ticks and is thus a better method than the ethanol-based one for studying the internal microbiome."
"18","Chytrid infecting the bloom-forming marine diatom Skeletonema sp.: Morphology, phylogeny and distribution of a novel species within the Rhizophydiales.",2019,"31126424","Chytrids have long been recognised as important parasites of microalgae in freshwater systems, able to shape the dynamics of blooms, the gene pool of their host and phytoplankton succession. In the sea however, where the presence of these organisms is erratic and ephemeral, studies concerning chytrids are sparse and confined to metabarcoding surveys or microscopy observations. Despite the scarcity of data, chytrid epidemics are supposed to play an important role in marine biogeochemical cycles, being one of the drivers of phytoplankton dynamics. Here we combine microscopy observations and in silico mining of a single-cell whole genome to molecularly and morphologically characterise a novel chytrid parasite of the dominant diatom genus Skeletonema. Morphological observations highlight features of the thallus and ascertain the parasitic nature of the interaction whilst the genetic markers obtained allows for a phylogenetic reconstruction, placing the new species in the order Rhizophydiales. Thanks to the molecular data obtained we are also able to provide a first investigation of the global distribution of this organism by screening the Ocean Sampling Day (OSD) dataset, highlighting a northern transatlantic dissemination."
"19","Microbial succession on decomposing root litter in a drought-prone Scots pine forest.",2019,"31123321","Decomposition is a major flux of the carbon cycle in forest soils and understanding the involved processes is a key for budgeting carbon turnover. Decomposition is constrained by the presence of biological agents such as microorganisms and the underlying environmental conditions such as water availability. A metabarcoding approach of ribosomal markers was chosen to study the succession of bacterial and fungal decomposers on root litter. Litterbags containing pine roots were buried in a pine forest for two years and sequentially sampled. Decomposition and the associated communities were surveyed under ambient dry and long-term irrigation conditions. Early decomposition stages were characterized by the presence of fast-cycling microorganisms such as Bacteroidetes and Helotiales, which were then replaced by more specialized bacteria and litter-associated or parasitic groups such as Acidobacteria, white rots, and Pleosporales. This succession was likely driven by a decrease of easily degradable carbohydrates and a relative increase in persistent compounds such as lignin. We hypothesize that functional redundancy among the resident microbial taxa caused similar root decomposition rates in control and irrigated forest soils. These findings have important implications for drought-prone Alpine forests as frequent drought events reduce litter fall, but not litter decomposition, potentially resulting in lower carbon stocks."
"20","Long-term microbial community dynamics at two full-scale biotrickling filters treating pig house exhaust air.",2019,"31106964","In this study, the microbial community structure of two full-scale biotrickling filters treating exhaust air from a pig housing facility were evaluated using 16S metabarcoding. The effect of inoculation with activated sludge of a nearby domestic waste water treatment plant was investigated, which is a cheap procedure and easy to apply in practice. The study was performed at a three-stage and a two-stage full-scale biotrickling filter; of which, only the latter was inoculated. Both biotrickling filters evolved towards a rather similar community over time, which differed from the one in the activated sludge used for inoculation. However, the bacterial population at both biotrickling filters showed small differences on the family level. A large population of heterotrophic bacteria, including denitrifying bacteria, was present in both biotrickling filters. In the non-inoculated biotrickling filter, nitrite-oxidizing bacteria (NOB) could not be detected, which corresponded with the incomplete nitrification leading to high nitrite accumulation observed in this system. Inoculation with the wide spectrum inoculum activated sludge had in this study a positive effect on the biotrickling filter performance (higher ammonia removal and lower nitrous oxide production). It could thus be beneficial to inoculate biotrickling filters in order to enrich NOB at the start-up, making it easier to keep the free nitrous acid concentration low enough to not be inhibited by it."
"21","DNA barcode reference libraries for the monitoring of aquatic biota in Europe: Gap-analysis and recommendations for future work.",2019,"31077928","Effective identification of species using short DNA fragments (DNA barcoding and DNA metabarcoding) requires reliable sequence reference libraries of known taxa. Both taxonomically comprehensive coverage and content quality are important for sufficient accuracy. For aquatic ecosystems in Europe, reliable barcode reference libraries are particularly important if molecular identification tools are to be implemented in biomonitoring and reports in the context of the EU Water Framework Directive (WFD) and the Marine Strategy Framework Directive (MSFD). We analysed gaps in the two most important reference databases, Barcode of Life Data Systems (BOLD) and NCBI GenBank, with a focus on the taxa most frequently used in WFD and MSFD. Our analyses show that coverage varies strongly among taxonomic groups, and among geographic regions. In general, groups that were actively targeted in barcode projects (e.g. fish, true bugs, caddisflies and vascular plants) are well represented in the barcode libraries, while others have fewer records (e.g. marine molluscs, ascidians, and freshwater diatoms). We also found that species monitored in several countries often are represented by barcodes in reference libraries, while species monitored in a single country frequently lack sequence records. A large proportion of species (up to 50%) in several taxonomic groups are only represented by private data in BOLD. Our results have implications for the future strategy to fill existing gaps in barcode libraries, especially if DNA metabarcoding is to be used in the monitoring of European aquatic biota under the WFD and MSFD. For example, missing species relevant to monitoring in multiple countries should be prioritized for future collaborative programs. We also discuss why a strategy for quality control and quality assurance of barcode reference libraries is needed and recommend future steps to ensure full utilisation of metabarcoding in aquatic biomonitoring."
"22","Fungal disease and temperature alter skin microbiome structure in an experimental salamander system.",2019,"31066947","Pathogens compete with host microbiomes for space and resources. Their shared environment impacts pathogen-microbiome-host interactions, which can lead to variation in disease outcome. The skin microbiome of red-backed salamanders (Plethodon cinereus) can reduce infection by the pathogen Batrachochytrium dendrobatidis (Bd) at moderate infection loads, with high species richness and high abundance of competitors as putative mechanisms. However, it is unclear if the skin microbiome can reduce epizootic Bd loads across temperatures. We conducted a laboratory experiment to quantify skin microbiome and host responses (P. cinereus: n = 87) to Bd at mimicked epizootic loads across temperatures (13, 17 and 21°C). We quantified skin microbiomes using 16S rRNA gene metabarcoding and identified operational taxonomic units (OTUs) taxonomically similar to culturable bacteria known to kill Bd (anti-Bd OTUs). Prior to pathogen exposure, temperature changed the microbiome (OTU richness decreased by 12% and the abundance of anti-Bd OTUs increased by 18% per degree increase in temperature), but these changes were not predictive of disease outcome. After exposure, Bd changed the microbiome (OTU richness decreased by 0.1% and the abundance of anti-Bd OTUs increased by 0.2% per 1% increase in Bd load) and caused high host mortality across temperatures (35/45: 78%). Temperature indirectly impacted microbiome change and mortality through its direct effect on pathogen load. We did not find support for the microbiome impacting Bd load or host survival. Our research reveals complex host, pathogen, microbiome and environmental interactions to demonstrate that during epizootic events the microbiome will be unlikely to reduce pathogen invasion, even for putatively Bd-resistant species."
"23","Chemosynthetic ectosymbionts associated with a shallow-water marine nematode.",2019,"31065037","Prokaryotes and free-living nematodes are both very abundant and co-occur in marine environments, but little is known about their possible association. Our objective was to characterize the microbiome of a neglected but ecologically important group of free-living benthic nematodes of the Oncholaimidae family. We used a multi-approach study based on microscopic observations (Scanning Electron Microscopy and Fluorescence In Situ Hybridization) coupled with an assessment of molecular diversity using metabarcoding based on the 16S rRNA gene. All investigated free-living marine nematode specimens harboured distinct microbial communities (from the surrounding water and sediment and through the seasons) with ectosymbiosis seemed more abundant during summer. Microscopic observations distinguished two main morphotypes of bacteria (rod-shaped and filamentous) on the cuticle of these nematodes, which seemed to be affiliated to Campylobacterota and Gammaproteobacteria, respectively. Both ectosymbionts belonged to clades of bacteria usually associated with invertebrates from deep-sea hydrothermal vents. The presence of the AprA gene involved in sulfur metabolism suggested a potential for chemosynthesis in the nematode microbial community. The discovery of potential symbiotic associations of a shallow-water organism with taxa usually associated with deep-sea hydrothermal vents, is new for Nematoda, opening new avenues for the study of ecology and bacterial relationships with meiofauna."
"24","Categorization of species as native or nonnative using DNA sequence signatures without a complete reference library.",2019,"31050090","New genetic diagnostic approaches have greatly aided efforts to document global biodiversity and improve biosecurity. This is especially true for organismal groups in which species diversity has been underestimated historically due to difficulties associated with sampling, the lack of clear morphological characteristics, and/or limited availability of taxonomic expertise. Among these methods, DNA sequence barcoding (also known as ""DNA barcoding"") and by extension, meta-barcoding for biological communities, has emerged as one of the most frequently utilized methods for DNA-based species identifications. Unfortunately, the use of DNA barcoding is limited by the availability of complete reference libraries (i.e., a collection of DNA sequences from morphologically identified species), and by the fact that the vast majority of species do not have sequences present in reference databases. Such conditions are critical especially in tropical locations that are simultaneously biodiversity rich and suffer from a lack of exploration and DNA characterization by trained taxonomic specialists. To facilitate efforts to document biodiversity in regions lacking complete reference libraries, we developed a novel statistical approach that categorizes unidentified species as being either likely native or likely nonnative based solely on measures of nucleotide diversity. We demonstrate the utility of this approach by categorizing a large sample of specimens of terrestrial insects and spiders (collected as part of the Moorea BioCode project) using a generalized linear mixed model (GLMM). Using a training data set of known endemic (n = 45) and known introduced species (n = 102), we then estimated the likely native/nonnative status for 4,663 specimens representing an estimated 1,288 species (412 identified species), including both those specimens that were either unidentified or whose endemic/introduced status was uncertain. Using this approach, we were able to increase the number of categorized specimens by a factor of 4.4 (from 794 to 3,497), and the number of categorized species by a factor of 4.8 from (147 to 707) at a rate much greater than chance (77.6% accuracy). The study identifies phylogenetic signatures of both native and nonnative species and suggests several practical applications for this approach including monitoring biodiversity and facilitating biosecurity."
"25","Biotic factors influencing the unexpected distribution of a Humboldt marten (Martes caurina humboldtensis) population in a young coastal forest.",2019,"31042737","Pacific martens (Martes caurina) are often associated with mature forests with complex structure for denning, resting, and efficient hunting. Nonetheless, a small isolated population of the Humboldt subspecies of Pacific martens (Martes caurina humboldtensis) occupies a narrow strip of young, coastal forest (< 70 years old) but not inland mature forest in the central Oregon Coast Range. We examined factors contributing to this unexpected distribution of martens by 1) analyzing marten diets using DNA metabarcoding to assess 90 scats, 2) using camera traps to assess differences in the relative abundances of prey, competitors, and predators across a coastal to inland gradient of vegetation types, and 3) quantifying differences in extent of fruit-producing shrubs and vegetation structure within vegetation types. Diets of martens were diverse (12, 10, and 3 species of birds, mammals, and amphibians respectively), and most fall and winter scats contained fruit. Voles, mice, and varied thrushes (Ixoreus naevius) were dominant prey items. Voles, mice, and most birds, but not varied thrushes, were more commonly observed in the coastal shrub-dominated forest than in inland forest. The coastal shrub-dominated forest had the highest diversity of vertebrates and potential prey overall. Bobcats (Lynx rufus), a key potential predator, were more commonly detected in inland forest. Of potential competitors, western spotted skunks (Spilogale gracilis) were more commonly detected in inland forest, with gray foxes (Urocyon cinereoargenteus) and raccoons (Procyon lotor) detected almost exclusively in coastal forests. Vegetation in coastal forests appears to provide, at least seasonally, more prey and fruit, and more overhead shrub cover compared with inland forest. Remaining plausible hypotheses for the restricted distribution of marten to coastal forests include increased prey, fruit, and overhead cover, and reduced predation risk from bobcats."
"26","The effect of dissolved nickel and copper on the adult coral Acropora muricata and its microbiome.",2019,"31042619","The potential impacts of mining activities on tropical coastal ecosystems are poorly understood. In particular, limited information is available on the effects of metals on scleractinian corals which are foundation species that form vital structural habitats supporting other biota. This study investigated the effects of dissolved nickel and copper on the coral Acropora muricata and its associated microbiota. Corals collected from the Great Barrier Reef were exposed to dissolved nickel (45, 90, 470, 900 and 9050 μg Ni/L) or copper (4, 11, 32 and 65 μg Cu/L) in flow through chambers at the National Sea Simulator, Townsville, Qld, Australia. After a 96-h exposure DNA metabarcoding (16S rDNA and 18S rDNA) was undertaken on all samples to detect changes in the structure of the coral microbiome. The controls remained healthy throughout the study period. After 36 h, bleaching was only observed in corals exposed to 32 and 65 μg Cu/L and very high nickel concentrations (9050 μg Ni/L). At 96 h, significant discolouration of corals was only observed in 470 and 900 μg Ni/L treatments, the highest concentrations tested. While high concentrations of nickel caused bleaching, no changes in the composition of their microbiome communities were observed. In contrast, exposure to copper not only resulted in bleaching, but altered the composition of both the eukaryote and bacterial communities of the coral's microbiomes. Our findings showed that these effects were only evident at relatively high concentrations of nickel and copper, reflecting concentrations observed only in extremely polluted environments. Elevated metal concentrations have the capacity to alter the microbiomes which are inherently linked to coral health."
"27","Intricate trophic links between threatened vertebrates confined to a small island in the Atlantic Ocean.",2019,"31031960","Trophic networks in small isolated islands are in a fragile balance, and their disturbance can easily contribute toward the extinction vortex of species. Here, we show, in a small Atlantic island (Raso) in the Cabo Verde Archipelago, using DNA metabarcoding, the extent of trophic dependence of the Endangered giant wall gecko Tarentola gigas on endemic populations of vertebrates, including one of the rarest bird species of the world, the Critically Endangered Raso lark Alauda razae. We found that the Raso lark (27%), Iago sparrow Passer iagoensis (12%), Bulwer's petrel Bulweria bulwerii (15%), and the Cabo Verde shearwater Calonectris edwardsii (10%) are the most frequent vertebrate signatures found in the feces of the giant wall gecko. This work provides the first integrative assessment of their trophic links, an important issue to be considered for the long-term conservation of these small and isolated island ecosystems."
"28","One-locus-several-primers: A strategy to improve the taxonomic and haplotypic coverage in diet metabarcoding studies.",2019,"31031930","In diet metabarcoding analyses, insufficient taxonomic coverage of PCR primer sets generates false negatives that may dramatically distort biodiversity estimates. In this paper, we investigated the taxonomic coverage and complementarity of three cytochrome c oxidase subunit I gene (COI) primer sets based on in silico analyses and we conducted an in vivo evaluation using fecal and spider web samples from different invertivores, environments, and geographic locations. Our results underline the lack of predictability of both the coverage and complementarity of individual primer sets: (a) sharp discrepancies exist observed between in silico and in vivo analyses (to the detriment of in silico analyses); (b) both coverage and complementarity depend greatly on the predator and on the taxonomic level at which preys are considered; (c) primer sets' complementarity is the greatest at fine taxonomic levels (molecular operational taxonomic units [MOTUs] and variants). We then formalized the ""one-locus-several-primer-sets"" (OLSP) strategy, that is, the use of several primer sets that target the same locus (here the first part of the COI gene) and the same group of taxa (here invertebrates). The proximal aim of the OLSP strategy is to minimize false negatives by increasing total coverage through multiple primer sets. We illustrate that the OLSP strategy is especially relevant from this perspective since distinct variants within the same MOTUs were not equally detected across all primer sets. Furthermore, the OLSP strategy produces largely overlapping and comparable sequences, which cannot be achieved when targeting different loci. This facilitates the use of haplotypic diversity information contained within metabarcoding datasets, for example, for phylogeography and finer analyses of prey-predator interactions."
