"","doi","title","abstract","YearPub"
"11","10.3897/mbmg.2.30457","monitoring riverine fish communities through edna metabarcoding determining optimal sampling strategies along an altitudinal and biodiversity gradient","<jats:p>monitoring aquatic biodiversity through dna extracted from environmental samples (edna) combined with high-throughput sequencing, commonly referred to as edna metabarcoding, is increasing in popularity within the scientific community. however, sampling strategies, laboratory protocols and analytical pipelines can influence the results of edna metabarcoding surveys. while the impact of laboratory protocols and analytical pipelines have been extensively studied, the importance of sampling strategies on edna metabarcoding surveys has not received the same attention. to avoid underestimating local biodiversity, adequate sampling strategies (i.e. sampling intensity and spatial sampling replication) need to be implemented. this study evaluated the impact of sampling strategies along an altitudinal and biodiversity gradient in the upper section of the murrumbidgee river (murray-darling basin, australia). an edna metabarcoding survey was used to determine the local fish biodiversity and evaluate the influence of sampling intensity and spatial sampling replication on the biodiversity estimates. the results show that optimal edna sampling strategies varied between sites and indicate that river morphology, species richness and species abundance affect the optimal sampling intensity and spatial sampling replication needed to accurately assess the fish biodiversity. while the generality of the patterns will need to be confirmed through future studies, these findings provide a basis to guide future edna metabarcoding surveys in river systems.</jats:p>",2018
"12","10.3897/mbmg.2.28963","optimising the detection of marine taxonomic richness using environmental dna metabarcoding the effects of filter material pore size and extraction method","<jats:p>the analysis of environmental dna (edna) using metabarcoding has increased in use as a method for tracking biodiversity of ecosystems. little is known about edna in marine human-modified environments, such as commercial ports, which are key sites to monitor for anthropogenic impacts on coastal ecosystems. to optimise an edna metabarcoding protocol in these environments, seawater samples were collected in a commercial port and methodologies for concentrating and purifying edna were tested for their effect on eukaryotic dna yield and subsequent richness of operational taxonomic units (otus). different filter materials [cellulose nitrate (cn) and glass fibre (gf)], with different pore sizes (0.5 µm, 0.7 µm and 1.2 µm) and three previously published liquid phase extraction methods were tested. the number of eukaryotic otus detected differed by a factor of three amongst the method combinations. the combination of cn filters with phenol-chloroform-isoamyl alcohol extractions recovered a higher amount of eukaryotic dna and otus compared to gf filters and the chloroform-isoamyl alcohol extraction method. pore size was not independent of filter material but did affect the yield of eukaryotic dna. for the otus assigned to a highly successful non-indigenous species, <jats:italic>styelaclava</jats:italic>, the two extraction methods with phenol significantly outperformed the extraction method without phenol; other experimental treatments did not contribute significantly to detection. these results highlight that careful consideration of methods is warranted because choice of filter material and extraction method create false negative detections of marine eukaryotic otus and underestimate taxonomic richness from environmental samples.</jats:p>",2018
"13","10.5194/soild-2-1175-2015","nematode taxonomy from morphology to metabarcoding","<jats:p>nematodes represent a species rich and morphologically diverse group of metazoans inhabiting both aquatic and terrestrial environments. their role as biological indicators and as key players in nutrient cycling has been well documented. some groups of nematodes are also known to cause significant losses to crop production. in spite of this, knowledge of their diversity is still limited due to the difficulty in achieving species identification using morphological characters. molecular methodology has provided very useful means of circumventing the numerous limitations associated with classical morphology based identification. we discuss herein the history and the progress made within the field of nematode systematics, the limitations of classical taxonomy and how the advent of high throughput sequencing is facilitating advanced ecological and molecular studies.</jats:p>",2015
"14","10.7287/peerj.preprints.26667v1","preliminary analysis of new zealand scampi metanephrops challengeri diet using metabarcoding","<jats:p>deep sea lobsters are highly valued for seafood and provide the basis of important commercial fisheries in many parts of the world. despite their economic significance, relatively little is known about their natural diets. microscopic analyses of foregut content in some species have suffered from low taxonomic resolution, with many of the dietary items difficult to reliably identify as their tissue is easily digested. dna metabarcoding has the potential to provide greater taxonomic resolution of foregut and hindgut contents of the new zealand (nz) scampi (<jats:italic>metanephrops challengeri</jats:italic>), but a number of methodological concerns need to first be overcome to ensure optimum dna metabarcoding results.</jats:p>
        <jats:p>in this study, a range of methodological parameters were trialled to determine the optimum protocols for dna metabarcoding, and provide a first view of the nz scampi diet. several pcr protocols were trialled, using two universal primer pairs targeting the 18s rrna and coi genes, on dna extracted from frozen and ethanol preserved samples of both foregut and hindgut digesta.</jats:p>
        <jats:p>the selection of appropriate dna polymerases, buffers and methods for reducing pcr inhibitors (including use of bsa) were found to be critical. amplification from frozen or ethanol preserved gut contents appeared similarly dependable, but metabarcoding results showed that ethanol samples resulted in better results from the coi gene. the coi gene was found to be more effective than 18s rrna gene for identifying large eukaryotic taxa from the digesta, however, it was less successfully amplified. the 18s rrna gene was more easily amplified, but identified mostly smaller marine organisms such as plankton and parasites. this preliminary analysis of the diet of the nz scampi<jats:italic> </jats:italic>identified a range of species, which included the ghost shark (<jats:italic>hydrolagus novaezealandiae</jats:italic>), silver warehou (<jats:italic>seriolella punctate</jats:italic>), tall sea pen (<jats:italic>funiculina quadrangularis</jats:italic> ) and salp (<jats:italic>ihlea racovitza</jats:italic>), suggesting that they have a varied diet, with a high reliance on scavenging a diverse range of pelagic and benthic species from the seafloor.</jats:p>",2018
"15","10.3897/mbmg.2.25649","bbi an r package for the computation of benthic biotic indices from composition data","<jats:p>the monitoring of impacts of anthropic activities in marine environments, such as aquaculture, oil-drilling platforms or deep-sea mining, relies on benthic biotic indices (bbi). several indices have been formalised to reduce the multivariate composition data into a single continuous value that is ascribed to a discrete ecological quality status. such composition data is traditionally obtained from macrofaunal inventories, which is time-consuming and expertise-demanding. important efforts are ongoing towards using high-throughput sequencing of environmental dna (edna metabarcoding) to replace or complement morpho-taxonomic surveys for routine biomonitoring. the computation of bbi from such composition data is usually being undertaken by practitioners with excel spreadsheets or through custom script. hence, the updating of reference morpho-taxonomic tables and cross studies comparison could be hampered. here we introduce the r package bbi for the computation of bbi from composition data, either obtained from traditional morpho-taxonomic inventories or from metabarcoding data. its aim is to provide an open-source, transparent and centralised method to compute bbi for routine biomonitoring.</jats:p>",2018
"16","10.7287/peerj.preprints.27313v1","towards an in depth characterization of symbiodiniaceae in tropical giant clams via multiplex metabarcoding","<jats:p>high-throughput sequencing is revolutionizing our ability to comprehensively characterize free-living and symbiotic symbiodiniaceae, a diverse dinoflagellategroup that plays a critical role in coral reef ecosystems. most studies however, focus on a single marker for metabarcoding symbiodiniaceae, potentially missing important ecological traits that a combination of markers may capture. in this proof-of-concept study, we used a small set of symbiotic giant clam (<jats:italic>tridacna maxima</jats:italic>) samples obtained from nine french polynesian locations and developed a multiplex metabarcoding method that pools and simultaneously sequences multiple symbiodiniaceae genes for in-depth biodiversity assessments. our results showed that the technique effectively recovered very similar proportions of sequence reads and dominant symbiodiniaceaeclades among the three multiplexed genes investigated per sample, and captured varying levels of phylogenetic resolution enabling a more comprehensive assessment of the diversity present. multiplex metabarcoding offers significant analytical cost savings while providing exceptional phylogenetic information and sequence coverage.</jats:p>",2018
"17","10.7287/peerj.preprints.3133v1","combining ncbi and bold databases for otu assignment in metabarcoding and metagenomic data the bold ncbi merger","<jats:p>metabarcoding and metagenomic approaches are becoming routine techniques in biodiversity assessment and ecological studies. the assignment of taxonomic information to sequences is challenging, as many reference libraries are lacking information on certain taxonomic groups and can contain erroneous sequences. combining different reference databases is therefore a promising approach for maximizing taxonomic coverage and reliability of results. this tutorial shows how to use the “bold_ncbi_merger” script to combine sequence data obtained from the national center for biotechnology information (ncbi) genbank and the barcode of life database (bold) and prepare it for taxonomic assignment with the software megan.</jats:p>",2018
"18","10.7287/peerj.preprints.2561v3","sorting things out assessing effects of unequal specimen biomass on dna metabarcoding","<jats:p>environmental bulk samples often contain many taxa that vary several orders of magnitude in biomass. this can be problematic in dna metabarcoding and metagenomic high-throughput sequencing approaches, as large specimens contribute disproportionately high amounts of dna template. thus, a few specimens of high biomass will dominate the dataset, potentially leading to smaller specimens remaining undetected. sorting of samples by specimen size and balancing the amounts of tissue used per size fraction should improve detection rates, but this approach has not been systematically tested.</jats:p>
        <jats:p>here we explored the effects of size sorting on taxa detection using two freshwater macroinvertebrate monitoring samples, collected from a low-mountain stream in germany. specimens were morphologically identified and sorted into three size classes (body size &lt; 2.5x5, 5x10 and up to 10x20 mm). tissue from each size category was extracted individually, and pooled to simulate samples that were not sorted by biomass (""unsorted""). additionally, size fractions were pooled so that each specimen contributed approximately equal amounts of biomass (""sorted""). mock samples were amplified using four different dna metabarcoding primer sets targeting the cytochrome c oxidase i (coi) gene.</jats:p>
        <jats:p>sorting taxa by size and pooling them proportionately according to their abundance lead to a more equal amplification of taxa compared to the processing of complete samples without sorting. the sorted samples recovered 30% more taxa than the unsorted samples, at the same sequencing depth. our results imply that sequencing depth can be decreased approximately five-fold when sorting the samples into three size classes and pooling by specimen abundance.</jats:p>
        <jats:p>our study demonstrates that even a coarse size sorting can substantially improve taxa detection using dna metabarcoding. while high throughput sequencing will become more accessible and cheaper within the next years, sorting bulk samples by specimen biomass is a simple yet efficient method to reduce current sequencing costs.</jats:p>",2018
"19","10.7287/peerj.preprints.2352v1","primerminer an r package for development and in silico validation of dna metabarcoding primers","<jats:p>1) dna metabarcoding is a powerful tool to assess biodiversity by amplifying and sequencing a standardized gene marker region. its success is often limited due to variable binding sites that introduce amplification biases. thus the development of optimized primers for communities or taxa under study in a certain geographic region and/or ecosystems is of critical importance. however, no tool for obtaining and processing of reference sequence data in bulk that serve as a backbone for primer design is currently available.</jats:p>
        <jats:p>2) we developed the r package primerminer, which batch downloads dna barcode gene sequences from bold and ncbi databases for specified target taxonomic groups and then applies sequence clustering into operational taxonomic units (otus) to reduce biases introduced by the different number of available sequences per species. additionally, primerminer offers functionalities to evaluate primers <jats:italic>in silico</jats:italic>, which are in our opinion more realistic then the strategy employed in another available software for that purpose, ecopcr.</jats:p>
        <jats:p>3) we used primerminer to download cytochrome c oxidase subunit i (coi) sequences for 15 important freshwater invertebrate groups, relevant for ecosystem assessment. by processing coi markers from both databases, we were able to increase the amount of reference data 249-fold on average, compared to using complete mitochondrial genomes alone. furthermore, we visualized the generated otu sequence alignments and describe how to evaluate primers <jats:italic>in silico</jats:italic> using primerminer.</jats:p>
        <jats:p>4) with primerminer we provide a useful tool to obtain relevant sequence data for targeted primer development and evaluation. the otu based reference alignments generated with primerminer can be used for manual primer design, or processed with bioinformatic tools for primer development.</jats:p>",2018
"20","10.7287/peerj.preprints.2759v3","assessing strengths and weaknesses of dna metabarcoding based macroinvertebrate identification for routine stream monitoring","<jats:p>1) dna metabarcoding holds great promise for the assessment of macroinvertebrates in stream ecosystems. however, few large-scale studies have compared the performance of dna metabarcoding with that of routine morphological identification.</jats:p>
        <jats:p>2) we performed metabarcoding using four primer sets on macroinvertebrate samples from 18 stream sites across finland. the samples were collected in 2013 and identified based on morphology as part of a finnish stream monitoring program. specimens were morphologically classified, following standardised protocols, to the lowest taxonomic level for which identification was feasible in the routine national monitoring.</jats:p>
        <jats:p>3) dna metabarcoding identified more than twice the number of taxa than the morphology-based protocol, and also yielded a higher taxonomic resolution. for each sample, we detected more taxa by metabarcoding than by the morphological method, and all four primer sets exhibited comparably good performance. sequence read abundance and the number of specimens per taxon (a proxy for biomass) were significantly correlated in each sample, although the adjusted r<jats:sup>2</jats:sup> were low. with a few exceptions, the ecological status assessment metrics calculated from morphological and dna metabarcoding datasets were similar. given the recent reduction in sequencing costs, metabarcoding is currently approximately as expensive as morphology-based identification.</jats:p>
        <jats:p>4) using samples obtained in the field, we demonstrated that dna metabarcoding can achieve comparable assessment results to current protocols relying on morphological identification. thus, metabarcoding represents a feasible and reliable method to identify macroinvertebrates in stream bioassessment, and offers powerful advantage over morphological identification in providing identification for taxonomic groups that are unfeasible to identify in routine protocols. to unlock the full potential of dna metabarcoding for ecosystem assessment, however, it will be necessary to address key problems with current laboratory protocols and reference databases.</jats:p>",2018
"21","10.7287/peerj.preprints.2044v2","development and validation of dna metabarcoding coi primers for aquatic invertebrates using the r package primerminer","<jats:p>1) dna metabarcoding is a powerful tool to assess biodiversity by amplifying and sequencing a standardized gene marker region. however, typically used barcoding genes, such as the cytochrome c oxidase subunit i (coi) region for animals, are highly variable. thus, different taxa in communities under study are often not amplified equally well and some might even remain undetected due to primer bias. to reduce these problems, optimized metabarcoding primers for the typical communities found in certain geographic regions- and/or ecosystems are necessary.</jats:p>
        <jats:p>2) we developed the r package primerminer, which batch downloads dna barcode gene sequences from bold and ncbi databases for specified target taxonomic groups and then applies sequence clustering to reduce biases introduced by the different number of available sequences per species. we downloaded coi data for the 15 most relevant freshwater invertebrate groups for stream ecosystem assessment and developed four primer sets with high base degeneracy based on that. primer performance was tested by sequencing ten mock community samples each consisting of 52 freshwater invertebrate taxa. additionally, we used primerminer to evaluate the developed primers against other metabarcoding primers <jats:italic>in silico</jats:italic>.</jats:p>
        <jats:p>3) the developed primers varied in amplification efficiency and the amount of detected taxa, yet all retrieved more taxa than standard folmer barcoding primers. additionally, the bf/br primers amplified taxa very consistently, with the bf2+br2 and bf2+br1 primer combinations showing better amplification than a previously tested ribosomal marker (16s). except for the bf1+br1 primers all bf/br primers combinations detected all 42 insect taxa present in the mock community samples. <jats:italic>in silico</jats:italic> evaluation of the developed primers demonstrates their suitability for metabarcoding of non-aquatic insect samples.</jats:p>
        <jats:p>4) with primerminer we provide a useful tool to obtain relevant sequence data for targeted primer development and evaluation. our sequence datasets generated with the newly developed metabarcoding primers demonstrate that the design of optimized primers with high base degeneracy is superior to classical markers and enables us to detect almost 100% of animal taxa present in a sample using the standard coi barcoding gene. therefore, the primerminer package and the developed primers are useful beyond biodiversity assessment in aquatic ecosystems.</jats:p>",2018
"22","10.7287/peerj.preprints.1023v1","can dna based ecosystem assessments quantify species abundance testing primer bias and biomass sequence relationships with an innovative metabarcoding protocol","<jats:p>metabarcoding is an emerging genetic tool to rapidly assess biodiversity in ecosystems. it involves high-throughput sequencing of a standard gene from an environmental sample and comparison to a reference database. however, no consensus has emerged regarding laboratory pipelines to screen species diversity and infer species abundances from environmental samples. in particular, the effect of primer bias and the detection limit for specimens with a low biomass has not been systematically examined, when processing samples in bulk. we developed and tested a dna metabarcoding protocol that utilises the standard cytochrome c oxidase subunit i (coi) barcoding fragment to detect freshwater macroinvertebrate taxa. dna was extracted in bulk, amplified in a single pcr step, and purified, and the libraries were directly sequenced in two independent miseq runs (300-bp paired-end reads). specifically, we assessed the influence of specimen biomass on sequence read abundance by sequencing 31 specimens of a stonefly species with known haplotypes spanning three orders of magnitude in biomass (experiment i). then, we tested the recovery of 52 different freshwater invertebrate taxa of similar biomass using the same standard barcoding primers (experiment ii). each experiment was replicated ten times to maximise statistical power. the results of both experiments were consistent across replicates. we found a distinct positive correlation between species biomass and resulting numbers of miseq reads. furthermore, we reliably recovered 83% of the 52 taxa used to test primer bias. however, sequence abundance varied by four orders of magnitudes between taxa despite the use of similar amounts of biomass. our metabarcoding approach yielded reliable results for high-throughput assessments. however, the results indicated that primer efficiency is highly species-specific, which would prevent straightforward assessments of species abundance and biomass in a sample. thus, pcr-based metabarcoding assessments of biodiversity should rely on presence-absence metrics.</jats:p>",2018
