"","@_fa","url","identifier","eid","title","creator","publicationName","issn","eIssn","pageRange","coverDate","coverDisplayDate","doi","description","citedby-count","aggregationType","subtype","subtypeDescription","author-count.@limit","author-count.$","authkeywords","source-id","fund-no","fund-sponsor","openaccess","openaccessFlag","entry_number","volume","issueIdentifier","pubmed-id","article-number","fund-acr","pii","YearPub"
"379","true","https://api.elsevier.com/content/abstract/scopus_id/85053166437","SCOPUS_ID:85053166437","2-s2.0-85053166437","Metabarcoding by capture using a single COI probe (MCSP) to identify and quantify fish species in ichthyoplankton swarms","Mariac C.","PLoS ONE",NA,"19326203",NA,"2018-09-01","September 2018","10.1371/journal.pone.0202976","© 2018 Mariac et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited. The ability to determine the composition and relative frequencies of fish species in large ichthyoplankton swarms could have extremely important ecological applications However, this task is currently hampered by methodological limitations. We proposed a new method for Amazonian species based on hybridization capture of the COI gene DNA from a distant species (Danio rerio), absent from our study area (the Amazon basin). The COI sequence of this species is approximately equidistant from all COI of Amazonian species available. By using this sequence as probe we successfully facilitated the simultaneous identification of fish larvae belonging to the order Siluriformes and to the Characiformes represented in our ichthyoplankton samples. Species relative frequencies, estimated by the number of reads, showed almost perfect correlations with true frequencies estimated by a Sanger approach, allowing the development of a quantitative approach. We also proposed a further improvement to a previous protocol, which enables lowering the sequencing effort by 40 times. This new Metabarcoding by Capture using a Single Probe (MCSP) methodology could have important implications for ecology, fisheries management and conservation in fish biodiversity hotspots worldwide. Our approach could easily be extended to other plant and animal taxa.","0","Journal","ar","Article","100","7",NA,"10600153309","undefined",NA,"1","TRUE","385","13","9","30208069","e0202976",NA,NA,2018
"380","true","https://api.elsevier.com/content/abstract/scopus_id/85052692772","SCOPUS_ID:85052692772","2-s2.0-85052692772","Opportunities and limitations for DNA metabarcoding in Australasian plant-pathogen biosecurity","Bulman S.","Australasian Plant Pathology","08153191","14486032","467-474","2018-09-01","1 September 2018","10.1007/s13313-018-0579-3","© 2018, Australasian Plant Pathology Society Inc. Protecting plants from new pathogen incursions requires effective surveillance practices. Environmental DNA (eDNA) metabarcoding shows considerable promise for detecting invasive organisms in terrestrial and aquatic ecosystems. Metabarcoding is widely used to characterise plant microbiotas and is beginning to be applied to plant biosecurity. However, diagnostic assays for biosecurity must fit within internationally agreed frameworks. Development of new gene targets to improve taxonomic resolution, improved reference databases and simplified bioinformatics platforms are required before phytopathogenic bacteria and fungi can be routinely detected by metabarcoding. Building biodiversity maps from accumulated metabarcoding data represents an important opportunity to define organism presence/absence in New Zealand and Australia and thus to enhance biosecurity decision making. Advances in sequencing technologies and infrastructure promise the creation of eDNA biosecurity surveillance networks from substrates including soil, trapped spores and insects.","3","Journal","re","Review","100","4","Detection | eDNA | Incursion | Microbiota | Sequence databases | Surveillance","16768","undefined","National Science Council","0","FALSE","386","47","5",NA,NA,NA,NA,2018
"381","true","https://api.elsevier.com/content/abstract/scopus_id/85052368820","SCOPUS_ID:85052368820","2-s2.0-85052368820","Does pollution influence small mammal diet in the field? A metabarcoding approach in a generalist consumer","Ozaki S.","Molecular Ecology","09621083","1365294X","3700-3713","2018-09-01","September 2018","10.1111/mec.14823","© 2018 John Wiley  &  Sons Ltd Mammals are mainly exposed to trace metals (TMs) via consuming contaminated food. Several studies have demonstrated relationships between metal concentrations in food and in animal tissues. However, potential effects of TMs on feeding behaviour of wildlife have been poorly documented under field conditions, despite experimental evidence showing that food selection is impacted by resource contamination. Here, we test the hypothesis that the diet of a generalist rodent, the wood mouse (Apodemus sylvaticus), is altered by soil TM contamination in the field. Wood mice were sampled in spring and in autumn along a gradient of soil contamination in the surroundings of a former smelter located in northern France. Available resources in the field were inventoried, and the diet of the animals was analysed using DNA “metabarcoding.” We demonstrated that (a) relationship between the resource richness in the diet and their richness in the field was altered by soil metal contamination. Wood mice specialized their diet along the gradient of soil metal contamination for both plant and invertebrate resources in spring. We also showed that (b) preference for Salicaceae, a plant family accumulating metals, decreased when soil contamination increased. These results suggest that environmental TM pollution could act as a force modulating trophic interactions in terrestrial food webs, thereby affecting wildlife exposure to contaminants by trophic route.","2","Journal","ar","Article","100","7","Apodemus sylvaticus | biodiversity | diet diversity | food selection | trace metals","20297","1172C0030","Agence de l'Environnement et de la Maîtrise de l'Energie","0","FALSE","387","27","18",NA,NA,NA,NA,2018
"382","true","https://api.elsevier.com/content/abstract/scopus_id/85049161956","SCOPUS_ID:85049161956","2-s2.0-85049161956","Diet shifts by adult flightless dung beetles Circellium bacchus, revealed using DNA metabarcoding, reflect complex life histories","Kerley G.","Oecologia","00298549",NA,"107-115","2018-09-01","1 September 2018","10.1007/s00442-018-4203-6","© 2018, Springer-Verlag GmbH Germany, part of Springer Nature. Life history changes may change resource use. Such shifts are not well understood in the dung beetles, despite recognised differences in larval and adult feeding ability. We use the flightless dung beetle Circellium bacchus to explore such shifts, identifying dung sources of adults using DNA metabarcoding, and comparing these with published accounts of larval dung sources. C. bacchus is traditionally considered to specialise on the dung of large herbivores for both larval and adult feeding. We successfully extracted mammal DNA from 151 adult C. bacchus fecal samples, representing 16 mammal species (ranging from elephants to small rodents), many of which are hitherto undescribed in the diet. Adult C. bacchus showed clear dung source preferences, especially for large herbivores inhabiting dense-cover vegetation. Our approach also confirmed the presence of cryptic taxa in the study area, and we propose that this may be used for biodiversity survey and monitoring purposes. Murid rodent feces were the most commonly fed-upon dung source (77.5%) for adult C. bacchus, differing markedly from the large and megaherbivore dung sources used for larval rearing. These findings support the hypothesis of life history-specific shifts in resource use in dung beetles, and reveal a hitherto unsuspected, but ecologically important, role of these dung beetles in consuming rodent feces. The differences in feeding abilities of the larval and adult life history stages have profound consequences for their resource use and foraging strategies, and hence the ecological role of dung beetles. This principle and its ecological consequences should be explored in other scarabaeids.","2","Journal","ar","Article","100","8","Biodiversity survey | Circellium bacchus | Coprophagy | Environmental DNA | Megaherbivores | Mitochondrial DNA | Next generation sequencing | Rodent feces | Scarabaeinae","12925","85062","Department of Science, Information Technology and Innovation, Queensland Government","0","FALSE","388","188","1",NA,NA,NA,NA,2018
"383","true","https://api.elsevier.com/content/abstract/scopus_id/85048853036","SCOPUS_ID:85048853036","2-s2.0-85048853036","ITS2 metabarcoding analysis complements lichen mycobiome diversity data","Banchi E.","Mycological Progress","1617416X","18618952","1049-1066","2018-09-01","1 September 2018","10.1007/s11557-018-1415-4","© 2018, The Author(s). Lichen thalli harbor complex fungal communities (mycobiomes) of species with divergent trophic and ecological strategies. The complexity and diversity of lichen mycobiomes are still largely unknown, despite surveys combining culture-based methods and high-throughput sequencing (HTS). The results of such surveys are strongly influenced by the barcode locus chosen, its sensitivity in discriminating taxa, and the depth to which public sequence repositories cover the phylogenetic spectrum of fungi. Here, we use HTS of the internal transcribed spacer 2 (ITS2) to assess the taxonomic composition and diversity of a well-characterized, alpine rock lichen community that includes thalli symptomatically infected by lichenicolous fungi as well as asymptomatic thalli. Taxa belonging to the order Chaetothyriales are the major components of the observed lichen mycobiomes. We predict sequences representative of lichenicolous fungi characterized morphologically and assess their asymptomatic presence in lichen thalli. We demonstrated the limitations of metabarcoding in fungi and show how the estimation of species diversity widely differs when ITS1 or ITS2 are used as barcode, and particularly biases the detection of Basidiomycota. The complementary analysis of both ITS1 and ITS2 loci is therefore required to reliably estimate the diversity of lichen mycobiomes.","3","Journal","ar","Article","100","6","Ascomycetes | Basidiomycetes | Endophytes | Fungal isolates | Ion torrent | ITS1","5400152649","P24114-B16","Austrian Science Fund","1","TRUE","389","17","9",NA,NA,NA,NA,2018
"384","true","https://api.elsevier.com/content/abstract/scopus_id/85047724440","SCOPUS_ID:85047724440","2-s2.0-85047724440","The effect of filtration method on the efficiency of environmental DNA capture and quantification via metabarcoding","Li J.","Molecular Ecology Resources","1755098X","17550998","1102-1114","2018-09-01","September 2018","10.1111/1755-0998.12899","© 2018 John Wiley  &  Sons Ltd Environmental DNA (eDNA) is a promising tool for rapid and noninvasive biodiversity monitoring. eDNA density is low in environmental samples, and a capture method, such as filtration, is often required to concentrate eDNA for downstream analyses. In this study, six treatments, with differing filter types and pore sizes for eDNA capture, were compared for their efficiency and accuracy to assess fish community structure with known fish abundance and biomass via eDNA metabarcoding. Our results showed that different filters (with the exception of 20-µm large-pore filters) were broadly consistent in their DNA capture ability. The 0.45-µm filters performed the best in terms of total DNA yield, probability of species detection, repeatability within pond and consistency between ponds. However performance of 0.45-µm filters was only marginally better than for 0.8-µm filters, while filtration time was significantly longer. Given this trade-off, the 0.8-µm filter is the optimal pore size of membrane filter for turbid, eutrophic and high fish density ponds analysed here. The 0.45-µm Sterivex enclosed filters performed reasonably well and are suitable in situations where on-site filtration is required. Finally, prefilters are applied only if absolutely essential for reducing the filtration time or increasing the throughput volume of the capture filters. In summary, we found encouraging similarity in the results obtained from different filtration methods, but the optimal pore size of filter or filter type might strongly depend on the water type under study.","2","Journal","ar","Article","100","4","eDNA method development | fish monitoring | lentic systems | prefiltration","11700154306","undefined","China Scholarship Council","0","FALSE","390","18","5",NA,NA,NA,NA,2018
"385","true","https://api.elsevier.com/content/abstract/scopus_id/85047621844","SCOPUS_ID:85047621844","2-s2.0-85047621844","Using DNA metabarcoding for simultaneous inference of common vampire bat diet and population structure","Bohmann K.","Molecular Ecology Resources","1755098X","17550998","1050-1063","2018-09-01","September 2018","10.1111/1755-0998.12891","© 2018 The Authors. Molecular Ecology Resources Published by John Wiley  &  Sons Ltd. Metabarcoding diet analysis has become a valuable tool in animal ecology; however, co-amplified predator sequences are not generally used for anything other than to validate predator identity. Exemplified by the common vampire bat, we demonstrate the use of metabarcoding to infer predator population structure alongside diet assessments. Growing populations of common vampire bats impact human, livestock and wildlife health in Latin America through transmission of pathogens, such as lethal rabies viruses. Techniques to determine large-scale variation in vampire bat diet and bat population structure would empower locality- and species-specific projections of disease transmission risks. However, previously used methods are not cost-effective and efficient for large-scale applications. Using bloodmeal and faecal samples from common vampire bats from coastal, Andean and Amazonian regions of Peru, we showcase metabarcoding as a scalable tool to assess vampire bat population structure and feeding preferences. Dietary metabarcoding was highly effective, detecting vertebrate prey in 93.2% of the samples. Bats predominantly preyed on domestic animals, but fed on tapirs at one Amazonian site. In addition, we identified arthropods in 9.3% of samples, likely reflecting consumption of ectoparasites. Using the same data, we document mitochondrial geographic population structure in the common vampire bat in Peru. Such simultaneous inference of vampire bat diet and population structure can enable new insights into the interplay between vampire bat ecology and disease transmission risks. Importantly, the methodology can be incorporated into metabarcoding diet studies of other animals to couple information on diet and population structure.","2","Journal","ar","Article","100","7","diet analyses | ecological genetics | environmental DNA | mammals | predator–prey interactions | wildlife management","11700154306","NSF-DEB-1020966","National Science Foundation","1","TRUE","391","18","5",NA,NA,NA,NA,2018
"386","true","https://api.elsevier.com/content/abstract/scopus_id/85051829597","SCOPUS_ID:85051829597","2-s2.0-85051829597","Towards robust and repeatable sampling methods in eDNA-based studies","Dickie I.","Molecular Ecology Resources","1755098X","17550998","940-952","2018-09-01","September 2018","10.1111/1755-0998.12907","© 2018 John Wiley  &  Sons Ltd DNA-based techniques are increasingly used for measuring the biodiversity (species presence, identity, abundance and community composition) of terrestrial and aquatic ecosystems. While there are numerous reviews of molecular methods and bioinformatic steps, there has been little consideration of the methods used to collect samples upon which these later steps are based. This represents a critical knowledge gap, as methodologically sound field sampling is the foundation for subsequent analyses. We reviewed field sampling methods used for metabarcoding studies of both terrestrial and freshwater ecosystem biodiversity over a nearly three-year period (n = 75). We found that 95% (n = 71) of these studies used subjective sampling methods and inappropriate field methods and/or failed to provide critical methodological information. It would be possible for researchers to replicate only 5% of the metabarcoding studies in our sample, a poorer level of reproducibility than for ecological studies in general. Our findings suggest greater attention to field sampling methods, and reporting is necessary in eDNA-based studies of biodiversity to ensure robust outcomes and future reproducibility. Methods must be fully and accurately reported, and protocols developed that minimize subjectivity. Standardization of sampling protocols would be one way to help to improve reproducibility and have additional benefits in allowing compilation and comparison of data from across studies.","7","Journal","re","Review","100","12","contamination | environmental DNA | experimental design | metabarcoding | metadata | sampling","11700154306","undefined","Bio-Protection Research Centre","0","FALSE","392","18","5",NA,NA,NA,NA,2018
"387","true","https://api.elsevier.com/content/abstract/scopus_id/85049860798","SCOPUS_ID:85049860798","2-s2.0-85049860798","Uniquity: A general metric for biotic uniqueness of sites","Ejrnæs R.","Biological Conservation","00063207",NA,"98-105","2018-09-01","September 2018","10.1016/j.biocon.2018.06.034","© 2018 Elsevier Ltd 1. Species richness is unrivalled as the most reported biodiversity metric in ecological and conservation research. Unfortunately, species richness ignores the scale-dependency of biodiversity.2. We propose the metric uniquity, a quantitative and spatially scalable measure of uniqueness of a site based on a species-by-site matrix and a site-by-habitat type classification with area weights for habitat types correcting for sampling biases.3. An example of uniquity is presented using vascular plant data from 130 sites representing a larger region (Denmark). We demonstrate the importance of the scale parameter of uniquity for the prediction of independent uniqueness indices calculated from species distribution data and the number of recorded red listed species.4. We compare the performance of uniquity with the performance of the indices Local Contribution to Beta Diversity (LCBD) and Range Rarity Richness (RRR), and we investigate its sensitivity to small sample size and poorly resolved habitat classification.5. We assess the performance of the uniquity metric applied to DNA metabarcoding data for plants, fungi and eukaryotes from the same set of study sites.6. Uniquity is a strong predictor of site uniqueness based on national distribution data and also correlates neatly with the observed number of red listed species. Uniquity based on DNA metabarcoding corresponds well with the number of red listed species observed.7. Perspective: Uniquity is generally applicable to biotas sampled with comparable effort, including field inventories, trap sampling, and DNA metabarcoding data. To our knowledge uniquity is the first index of uniqueness that explicitly considers spatial scale and sampling biases, while simultaneously accepting non-annotated DNA-data as input. Based on our study we offer general recommendations for further use and testing of uniquity as conservation value metric.","1","Journal","ar","Article","100","8","Biodiversity conservation | eDNA | Metabarcoding | Rarity | Red listed species | Vascular plants","17244","undefined",NA,"0","FALSE","393","225",NA,NA,NA,NA,"S0006320717318293",2018
"388","true","https://api.elsevier.com/content/abstract/scopus_id/85047450552","SCOPUS_ID:85047450552","2-s2.0-85047450552","Performance of amplicon and shotgun sequencing for accurate biomass estimation in invertebrate community samples","Bista I.","Molecular Ecology Resources","1755098X","17550998","1020-1034","2018-09-01","September 2018","10.1111/1755-0998.12888","© 2018 John Wiley  &  Sons Ltd New applications of DNA and RNA sequencing are expanding the field of biodiversity discovery and ecological monitoring, yet questions remain regarding precision and efficiency. Due to primer bias, the ability of metabarcoding to accurately depict biomass of different taxa from bulk communities remains unclear, while PCR-free whole mitochondrial genome (mitogenome) sequencing may provide a more reliable alternative. Here, we used a set of documented mock communities comprising 13 species of freshwater macroinvertebrates of estimated individual biomass, to compare the detection efficiency of COI metabarcoding (three different amplicons) and shotgun mitogenome sequencing. Additionally, we used individual COI barcoding and de novo mitochondrial genome sequencing, to provide reference sequences for OTU assignment and metagenome mapping (mitogenome skimming), respectively. We found that, even though both methods occasionally failed to recover very low abundance species, metabarcoding was less consistent, by failing to recover some species with higher abundances, probably due to primer bias. Shotgun sequencing results provided highly significant correlations between read number and biomass in all but one species. Conversely, the read–biomass relationships obtained from metabarcoding varied across amplicons. Specifically, we found significant relationships for eight of 13 (amplicons B1FR-450 bp, FF130R-130 bp) or four of 13 (amplicon FFFR, 658 bp) species. Combining the results of all three COI amplicons (multiamplicon approach) improved the read–biomass correlations for some of the species. Overall, mitogenomic sequencing yielded more informative predictions of biomass content from bulk macroinvertebrate communities than metabarcoding. However, for large-scale ecological studies, metabarcoding currently remains the most commonly used approach for diversity assessment.","10","Journal","ar","Article","100","12","biodiversity | biomass | genome skimming | invertebrates | metabarcoding | metagenomics","11700154306","2017QC114","Chinese Universities Scientific Fund","0","FALSE","394","18","5",NA,NA,"ESF",NA,2018
"389","true","https://api.elsevier.com/content/abstract/scopus_id/85046359407","SCOPUS_ID:85046359407","2-s2.0-85046359407","Sequence clustering threshold has little effect on the recovery of microbial community structure","Botnen S.","Molecular Ecology Resources","1755098X","17550998","1064-1076","2018-09-01","September 2018","10.1111/1755-0998.12894","© 2018 John Wiley  &  Sons Ltd Analysis of microbial community structure by multivariate ordination methods, using data obtained by high-throughput sequencing of amplified markers (i.e., DNA metabarcoding), often requires clustering of DNA sequences into operational taxonomic units (OTUs). Parameters for the clustering procedure tend not to be justified but are set by tradition rather than being based on explicit knowledge. In this study, we explore the extent to which ordination results are affected by variation in parameter settings for the clustering procedure. Amplicon sequence data from nine microbial community studies, representing different sampling designs, spatial scales and ecosystems, were subjected to clustering into OTUs at seven different similarity thresholds (clustering thresholds) ranging from 87% to 99% sequence similarity. The 63 data sets thus obtained were subjected to parallel DCA and GNMDS ordinations. The resulting community structures were highly similar across all clustering thresholds. We explain this pattern by the existence of strong ecological structuring gradients and phylogenetically diverse sets of abundant OTUs that are highly stable across clustering thresholds. Removing low-abundance, rare OTUs had negligible effects on community patterns. Our results indicate that microbial data sets with a clear gradient structure are highly robust to choice of sequence clustering threshold.","1","Journal","ar","Article","100","4","bacteria | clustering threshold | community ecology | DNA metabarcoding | fungi | microbial ecology","11700154306","undefined","Oslo University College","0","FALSE","395","18","5",NA,NA,NA,NA,2018
"390","true","https://api.elsevier.com/content/abstract/scopus_id/85053123766","SCOPUS_ID:85053123766","2-s2.0-85053123766","Over 2.5 million COI sequences in GenBank and growing","Porter T.","PLoS ONE",NA,"19326203",NA,"2018-09-01","September 2018","10.1371/journal.pone.0200177","© 2018 Porter, Hajibabaei. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited. The increasing popularity of cytochrome c oxidase subunit 1 (COI) DNA metabarcoding warrants a careful look at the underlying reference databases used to make high-throughput taxonomic assignments. The objectives of this study are to document trends and assess the future usability of COI records for metabarcode identification. The number of COI records deposited to the NCBI nucleotide database has increased by a geometric average of 51% per year, from 8,137 records deposited in 2003 to a cumulative total of ~ 2.5 million by the end of 2017. About half of these records are fully identified to the species rank, 92% are at least 500 bp in length, 74% have a country annotation, and 51% have latitude-longitude annotations. To ensure the future usability of COI records in GenBank we suggest: 1) Improving the geographic representation of COI records, 2) Improving the cross-referencing of COI records in the Barcode of Life Data System and GenBank to facilitate consolidation and incorporation into existing bioinformatic pipelines, 3) Adherence to the minimum information about a marker gene sequence guidelines, and 4) Integrating metabarcodes from eDNA and mixed community studies with existing reference sequences. The growth of COI reference records over the past 15 years has been substantial and is likely to be a resource across many fields for years to come.","4","Journal","ar","Article","100","2",NA,"10600153309","undefined","Research and Development","1","TRUE","396","13","9","30192752","e0200177",NA,NA,2018
"391","true","https://api.elsevier.com/content/abstract/scopus_id/85052842957","SCOPUS_ID:85052842957","2-s2.0-85052842957","Integrating complementary methods to improve diet analysis in fishery-targeted species","Matley J.","Ecology and Evolution",NA,"20457758","9503-9515","2018-09-01","September 2018","10.1002/ece3.4456","© 2018 The Authors. Ecology and Evolution published by John Wiley  &  Sons Ltd. Developing efficient, reliable, cost-effective ways to identify diet is required to understand trophic ecology in complex ecosystems and improve food web models. A combination of techniques, each varying in their ability to provide robust, spatially and temporally explicit information can be applied to clarify diet data for ecological research. This study applied an integrative analysis of a fishery-targeted species group—Plectropomus spp. in the central Great Barrier Reef, Australia, by comparing three diet-identification approaches. Visual stomach content analysis provided poor identification with ~14% of stomachs sampled resulting in identification to family or lower. A molecular approach was successful with prey from ~80% of stomachs identified to genus or species, often with several unique prey in a stomach. Stable isotope mixing models utilizing experimentally derived assimilation data, identified similar prey as the molecular technique but at broader temporal scales, particularly when prior diet information was incorporated. Overall, Caesionidae and Pomacentridae were the most abundant prey families (>50% prey contribution) for all Plectropomus spp., highlighting the importance of planktivorous prey. Less abundant prey categories differed among species/color phases indicating possible niche segregation. This study is one of the first to demonstrate the extent of taxonomic resolution provided by molecular techniques, and, like other studies, illustrates that temporal investigations of dietary patterns are more accessible in combination with stable isotopes. The consumption of mainly planktivorous prey within this species group has important implications within coral reef food webs and provides cautionary information regarding the effects that changing resources could have in reef ecosystems.","1","Journal","ar","Article","100","9","coral reef | coral trout | diet | fisheries | metabarcoding | next-generation sequencing | Plectropomus | stable isotopes | stomach contents","21100264002","144482","Australian Coral Reef Society","1","TRUE","397","8","18",NA,NA,NA,NA,2018
"392","true","https://api.elsevier.com/content/abstract/scopus_id/85052622563","SCOPUS_ID:85052622563","2-s2.0-85052622563","Honey evaluation using electronic tongues: An overview","Veloso A.","Chemosensors",NA,"22279040",NA,"2018-09-01","1 September 2018","10.3390/chemosensors6030028","© 2018 by the authors. Honey-rich composition in biologically active compounds makes honey a food products highly appreciated due to the nutritional and healthy properties. Food-manufacturing is very prone to different types of adulterations and fraudulent labelling making it urgent to establish accurate, fast and cost-effective analytical techniques for honey assessment. In addition to the classical techniques (e.g., physicochemical analysis, microscopy, chromatography, immunoassay, DNA metabarcoding, spectroscopy), electrochemical based-sensor devices have arisen as reliable and green techniques for food analysis including honey evaluation, allowing in-situ and on-line assessment, being a user-friendly procedure not requiring high technical expertise. In this work, the use of electronic tongues, also known as taste sensor devices, for honey authenticity and assessment is reviewed. Also, the versatility of electronic tongues to qualitative (e.g., botanical and/or geographical origin assessment as well as detection of adulteration) and quantitative (e.g., assessment of adulterants levels, determination of flavonoids levels or antibiotics and insecticides residues, flavonoids) honey analysis is shown. The review is mainly focused on the research outputs reported during the last decade aiming to demonstrate the potentialities of potentiometric and voltammetric multi-sensor devices, pointing out their main advantages and present and future challenges for becoming a practical quality analytical tool at industrial and commercial levels.","2","Journal","re","Review","100","5","Adulteration evaluation | Botanical origin assessment | Chemometrics | Contaminants detection | Electronic tongue | Geographical origin evaluation | Honey analysis | Lab-made devices | Potentiometry | Voltammetry","21100857392","undefined",NA,"1","TRUE","398","6","3",NA,"28",NA,NA,2018
"393","true","https://api.elsevier.com/content/abstract/scopus_id/85049078260","SCOPUS_ID:85049078260","2-s2.0-85049078260","Insights into fungal communities colonizing the acarosphere in a forest soil habitat","Werner S.","Mycological Progress","1617416X","18618952","1067-1085","2018-09-01","1 September 2018","10.1007/s11557-018-1414-5","© 2018, German Mycological Society and Springer-Verlag GmbH Germany, part of Springer Nature. Knowledge on the diversity and ecology of microfungi associated with soil-dwelling mites is rather limited. To get insights into associations between the two highly diverse groups, we studied composition and potential function of mite-associated fungal communities occurring in soil. Two different mite species living in temperate region pine forest soil were screened for associated fungi. The fungal community was assessed by restriction fragment length polymorphism (RFLP) analyses in a predatory (Leptogamasus obesus) and a predominantly saprobic (Oppiella subpectinata) mite species as well as in the organic soil layer. Key fungi were identified by sequencing, and community composition was exemplarily compared between the RFLP and a 454 metabarcoding approach. Composition of the fungal communities differed between mite species and between mites and organic soil layer. The mites were predominantly associated with Zygomycota, less frequently with Ascomycota, and rarely with Basidiomycota. The bulk soil was colonized by roughly equal proportions of the three phyla. Fungal taxa being known to exhibit chitinolytic activity were predominantly restricted to mites. Compositional and functional differences between the communities suggest that mites represent a particular microhabitat for fungi, the “acarosphere.” This mobile habitat may contribute to nutrient cycling by combining fungal and animal decomposition activities and serve as vector for soil-inhabiting fungi.","0","Journal","ar","Article","100","3","Fungi | ITS rRNA gene | Leptogamasus obesus | Micro-compartment | Mites | Oppiella subpectinata","5400152649","undefined",NA,"0","FALSE","399","17","9",NA,NA,NA,NA,2018
"394","true","https://api.elsevier.com/content/abstract/scopus_id/85047267784","SCOPUS_ID:85047267784","2-s2.0-85047267784","Spatial structuring of soil microbial communities in commercial apple orchards","Deakin G.","Applied Soil Ecology","09291393",NA,"1-12","2018-09-01","September 2018","10.1016/j.apsoil.2018.05.015","© 2018 The Authors Characterising spatial microbial community structure is important to understand and explain the consequences of continuous plantation of one crop species on the performance of subsequent crops, especially where this leads to reduced growth vigour and crop yield. We investigated the spatial structure, specifically distance-decay of similarity, of soil bacterial and fungal communities in two long-established orchards with contrasting agronomic characteristics. A spatially explicit sampling strategy was used to collect soil from under recently grubbed rows of apple trees and under the grassed aisles. Amplicon-based metabarcoding technology was used to characterise the soil microbial communities. The results suggested that (1) most of the differences in soil microbial community structure were due to large-scale differences (i.e. between orchards), (2) within-orchard, small-scale (1–5 m) spatial variability was also present, but spatial relationships in microbial community structure differed between orchards and were not predictable, and (3) vegetation type (i.e. trees or grass and their associated management) can significantly alter the structure of soil microbial communities, affecting a large proportion of microbial groups. The discontinuous nature of soil microbial community structure in the tree stations and neighbouring grass aisles within an orchard illustrate the importance of vegetation type and allied weed and nutrient management on soil microbial community structure.","2","Journal","ar","Article","100","7","Distance-decay of similarity | Grass | Spatial autocorrelation | Trees","96119","BB/M01777X/1","Biotechnology and Biological Sciences Research Council","1","TRUE","400","130",NA,NA,NA,NA,"S0929139317308442",2018
"395","true","https://api.elsevier.com/content/abstract/scopus_id/85046087407","SCOPUS_ID:85046087407","2-s2.0-85046087407","dinoref: A curated dinoflagellate (Dinophyceae) reference database for the 18S rRNA gene","Mordret S.","Molecular Ecology Resources","1755098X","17550998","974-987","2018-09-01","September 2018","10.1111/1755-0998.12781","© 2018 John Wiley  &  Sons Ltd Dinoflagellates are a heterogeneous group of protists present in all aquatic ecosystems where they occupy various ecological niches. They play a major role as primary producers, but many species are mixotrophic or heterotrophic. Environmental metabarcoding based on high-throughput sequencing is increasingly applied to assess diversity and abundance of planktonic organisms, and reference databases are definitely needed to taxonomically assign the huge number of sequences. We provide an updated 18S rRNA reference database of dinoflagellates: dinoref. Sequences were downloaded from genbank and filtered based on stringent quality criteria. All sequences were taxonomically curated, classified taking into account classical morphotaxonomic studies and molecular phylogenies, and linked to a series of metadata. dinoref includes 1,671 sequences representing 149 genera and 422 species. The taxonomic assignation of 468 sequences was revised. The largest number of sequences belongs to Gonyaulacales and Suessiales that include toxic and symbiotic species. dinoref provides an opportunity to test the level of taxonomic resolution of different 18S barcode markers based on a large number of sequences and species. As an example, when only the V4 region is considered, 374 of the 422 species included in dinoref can still be unambiguously identified. Clustering the V4 sequences at 98% similarity, a threshold that is commonly applied in metabarcoding studies, resulted in a considerable underestimation of species diversity.","2","Journal","ar","Article","100","6","18S rRNA gene | dinoflagellates | diversity | phylogeny | sequence database | V4 region","11700154306","undefined","Ministero dell’Istruzione, dell’Università e della Ricerca","0","FALSE","401","18","5",NA,NA,"MIUR",NA,2018
